A01,広島大学内郵便局
A02,総合博物館
A03,環境安全センター
A04,総合博物館（埋蔵文化調査部門）
A05,共用棟
A06,特高受変電棟
A07,国際交流会館
A08,両生類研究センター バイオリソース棟
A09,工作室
A10,家禽・家畜舎
A11,ヘリウム液化室
A12,恒温恒湿温室R1
A13,動物飼育室
A14,温室
A15,原生動物培養室
A16,危険薬品庫
A17,特別実験棟
A18,植物遺伝子保管実験棟Q
A19,車庫
A20,ガラス・網室
A21,超低温超高圧実験棟
A22,植物管理室
A23,日本鶏保護増殖舎
A24,動物舎
A25,危険薬品庫
A26,温室B棟
A27,大温室
A28,温室A棟
A29,放射光準備室
A30,植物遺伝子温室R
A31,船舶海洋風洞実験棟
A32,東地区エネルギーセンター
A33,飼育温室
A34,北地区エネルギーセンター
A35,書庫棟
A36,資材庫
A37,ボンベ庫
A38,倉庫
A39,弓道場的場
A40,屋外便所
A41,西地区エネルギーセンター
A42,屋外プール附属家
A43,体育器具庫
A44,体育器具庫
A45,体育器具庫
A46,温室
A47,温室
A48,歯科診療所
A49,車庫
A50,器具庫
A51,器具庫
A52,倉庫
A53,厩舎
A54,電気室
A55,倉庫
A55,広島大学内ひまわり保育園
A57,浄水装置室
A58,危険薬品庫
A59,屋外便所
A60,アイグラン保育園広島大学前
A61,南課外活動共同施設（体育系）
A62,体育器具庫・更衣室1
A63,危険薬品庫
A64,体育器具庫・更衣室2
A65,国際交流会館B棟
A66,国際交流会館C棟
A67,RI総合実験棟
E01,管理棟
E02,低層実験研究棟C1
E03,高層実験研究棟A1
E04,講義棟B1
E05,低層実験研究棟C2
E06,高層実験研究棟A2
E07,講義棟B2
E08,低層実験研究棟C3
E09,高層実験研究棟A3
E10,講義棟B3
E11,低層実験研究棟C4
E12,高層実験研究棟A4
E13,講義棟B4
E14,東図書館
E15,課外活動共用施設（文化系）
E16,大学会館
E17,ミライクリエ
E18,機械要素実験棟D4
E18,危険薬品庫
E19,機会力学工作機械実験棟D3
E20,共用棟E7
E21,非破壊試験棟D2
E22,共用棟E6
E23,音響実験棟D1
E24,共用棟E1
E25,土木・建築構造実験棟E2・3
E26,建築環境学実験棟E4
E27,水理実験棟E5
E28,フェニックス工房
E29,フェニックスファクトリー
E30,化学工学共同実験棟F2
E31,放射線総合実験棟F3
E32,東体育館
E33,講義管理棟C
E34,実験研究棟A
E35,実験研究棟B
E36,Town＆Gown未来イノベーション研究所
E37,食品製造実験実習・工作機械実習
E38,機械専攻共用棟G7
E39,反応気体力学実験棟G6
E40,熱工学・流体工学実験棟G5
E41,機械専攻共用棟G4
E42,船舶試験水槽棟G3
E43,大型構造物実験棟G1
E44,東福利会館
E45,遺伝子実験棟
E46,ナノデバイス・バイオ融合科学研究所
E47,遺伝子実験棟
E48,RI総合実験棟
E49,放射光研究棟
E50,放射光実験準備棟
E51,放射光実験棟
E52,ベンチャー・ビジネス・ラボラトリー
N01,本部棟
N02,講義管理棟Ｅ
N03,研究棟Ａ
N04,研究棟Ｂ
N05,研究棟C
N06,研究棟D
N07,機器分析棟J
N08,低温実験棟H
N09,両生類研究棟M
N10,学術標本共同資料館
N11,先端科学総合研究棟
N12,総合研究実験棟
N13,講義棟
N14,研究棟
N15,研究棟
N16,講義棟
N17,北第3福利会館
N18,福山運通小丸賑わいパビリオン
N19,北第1福利会館
N20,中央図書館
N21,サタケメモリアルホール
N22,学士会館
N23,北第2福利会館
N24,音楽棟F
N25,総合校舎G
N26,美術棟E
N27,技術棟D
N28,研究棟C
N29,講義棟L
N30,講義棟K1
N31,講義棟K2
N32,研究棟A
N33,総合校舎K3
N34,研究棟B
N35,管理棟
N36,北体育館
N37,HIRAKU-GLOBAL
S01,研究棟
S02,実験棟
S03,家畜環境制御実験棟
S04,作物調査試験棟
W01,事務棟Ｍ
W02,研究棟Ａ
W03,研究棟B
W04,研究棟C
W05,西講義棟J
W06,学生実験棟H
W07,RI実験棟
W08,環境モデル実験棟
W09,学生プラザ
W10,保健管理センター
W11,西第1福利会館
W12,東講義棟K
W13,南講義棟L
W15,西第2福利会館
W16,西図書館
W16,課外活動共用施設（体育系）
W17,西体育館
